Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics
MNI_MNI.img	LFOG_L	4084	46.0575	173.0112	108.1905	22.5925	
MNI_MNI.img	LFOG_R	4293	29.9906	180.4054	108.2925	22.3426	
MNI_MNI.img	MFOG_L	4310	42.0991	173.5685	110.7768	24.4123	
MNI_MNI.img	MFOG_R	4372	35.7529	184.4761	107.1762	25.1467	
MNI_MNI.img	RG_L	5949	45.0985	188.1243	102.8138	25.9967	
MNI_MNI.img	RG_R	6105	51.2900	188.8914	108.3043	26.4835	
MNI_MNI.img	PoCG_L	10527	47.6759	177.5765	119.1475	23.5272	
MNI_MNI.img	PoCG_R	8875	30.8780	182.0575	119.8540	23.5531	
MNI_MNI.img	PrCG_L	12510	46.3634	176.2018	118.1531	22.1230	
MNI_MNI.img	PrCG_R	13256	42.3586	188.5548	120.5874	22.9792	
MNI_MNI.img	SPG_L	6198	52.0346	178.4430	121.8820	24.9239	
MNI_MNI.img	SPG_R	4431	59.6722	184.3578	123.7292	25.1064	
MNI_MNI.img	SMG_L	6673	46.3282	180.7159	114.0343	25.0553	
MNI_MNI.img	SMG_R	5906	51.2328	196.9642	114.8201	23.5817	
MNI_MNI.img	AG_L	6160	44.6819	180.2569	113.3489	24.3986	
MNI_MNI.img	AG_R	8791	35.4011	183.0308	113.7012	24.9143	
MNI_MNI.img	PrCu_L	7395	38.5046	188.4417	113.6790	24.7970	
MNI_MNI.img	PrCu_R	7640	41.5169	191.3773	112.6308	23.9998	
MNI_MNI.img	STG_L	10554	42.3620	182.8462	109.2389	22.0431	
MNI_MNI.img	STG_R	10956	28.6236	186.7751	110.2374	21.0728	
MNI_MNI.img	STG_L_pole	3576	51.4795	163.3615	99.8479	19.4662	
MNI_MNI.img	STG_R_pole	3375	51.7502	169.3299	102.4083	19.2333	
MNI_MNI.img	MTG_L	10902	42.0110	184.9396	104.3511	24.7131	
MNI_MNI.img	MTG_R	11253	39.5691	196.4624	103.6250	23.7336	
MNI_MNI.img	MTG_L_pole	565	57.6767	170.1588	108.1554	22.6877	
MNI_MNI.img	MTG_R_pole	561	64.6476	167.8530	108.8688	23.7950	
MNI_MNI.img	ITG_L	8511	26.3075	176.5476	100.2007	25.2791	
MNI_MNI.img	ITG_R	10443	26.1262	176.6090	104.5303	24.6259	
MNI_MNI.img	PHG_L	1205	72.7076	184.1131	118.0866	21.3195	
MNI_MNI.img	PHG_R	1324	60.6621	191.2651	123.3085	23.0098	
MNI_MNI.img	ENT_L	467	83.7918	172.2798	121.2181	18.6207	
MNI_MNI.img	ENT_R	592	83.7212	186.0551	120.9805	21.3472	
MNI_MNI.img	FuG_L	15543	25.3128	189.3166	103.0100	25.2713	
MNI_MNI.img	FuG_R	15829	30.5538	185.5229	104.7245	22.7402	
MNI_MNI.img	SOG_L	2449	56.8674	200.2987	120.7753	25.5038	
MNI_MNI.img	SOG_R	2333	42.4753	177.5459	115.7366	23.4048	
MNI_MNI.img	MOG_L	12171	34.7337	173.0822	107.8193	25.9833	
MNI_MNI.img	MOG_R	11994	28.9083	182.1651	107.3940	24.6369	
MNI_MNI.img	IOG_L	3669	38.2849	173.3936	105.6950	26.3209	
MNI_MNI.img	IOG_R	5087	31.4360	164.1537	102.9446	24.5839	
MNI_MNI.img	Cu_L	5731	37.6796	175.0360	114.1165	24.8872	
MNI_MNI.img	Cu_R	5203	39.6312	184.8370	112.5671	23.8835	
MNI_MNI.img	LG_L	9959	25.2750	182.6626	108.4518	25.9155	
MNI_MNI.img	LG_R	10553	24.8784	177.0329	107.8771	24.5225	
MNI_MNI.img	rostral_ACC_L	2977	40.5572	167.8661	95.3040	22.7693	
MNI_MNI.img	rostral_ACC_R	3541	43.2629	168.0606	93.4013	22.5389	
MNI_MNI.img	subcallosal_ACC_L	458	59.9666	160.2657	97.2481	23.4825	
MNI_MNI.img	subcallosal_ACC_R	638	56.7119	157.1285	99.1815	23.3465	
MNI_MNI.img	subgenual_ACC_L	1840	67.1920	176.7712	114.3809	21.0986	
MNI_MNI.img	subgenual_ACC_R	1860	52.1671	191.7183	110.9114	22.7357	
MNI_MNI.img	dorsal_ACC_L	12354	25.9378	177.0804	103.3480	22.6042	
MNI_MNI.img	dorsal_ACC_R	12033	37.1887	165.3554	100.5405	22.3892	
MNI_MNI.img	PCC_L	8386	29.9783	186.6449	106.3638	24.9885	
MNI_MNI.img	PCC_R	10095	26.7758	177.1021	102.4414	23.2802	
MNI_MNI.img	Insula_L	9225	40.4588	163.1078	105.1501	20.9067	
MNI_MNI.img	Insula_R	8718	48.3830	170.5390	111.4667	22.2043	
MNI_MNI.img	Amyg_L	1806	76.2051	172.0664	111.2090	14.9650	
MNI_MNI.img	Amyg_R	1910	83.6283	159.4301	115.5881	14.6610	
MNI_MNI.img	Hippo_L	4637	49.0066	175.4077	104.2954	19.1702	
MNI_MNI.img	Hippo_R	4583	51.6447	163.4506	107.4276	18.2379	
MNI_MNI.img	Caud_L	4043	80.4292	186.2568	129.6144	19.0174	
MNI_MNI.img	Caud_R	4224	82.5775	186.1286	130.0924	19.5924	
MNI_MNI.img	Put_L	5756	89.1454	183.5150	148.5979	15.5170	
MNI_MNI.img	Put_R	5772	82.8235	186.0264	151.4344	15.2333	
MNI_MNI.img	GP_L	1453	157.0869	216.6713	189.1712	10.2908	
MNI_MNI.img	GP_R	1425	152.8018	218.8680	190.2189	10.5043	
MNI_MNI.img	Thalamus_L	6967	117.8069	202.5743	163.5141	15.5783	
MNI_MNI.img	Thalamus_R	6930	114.5473	204.0684	161.5153	16.8637	
MNI_MNI.img	HypoThalamus_L	594	88.3957	188.5779	143.0300	18.1032	
MNI_MNI.img	HypoThalamus_R	714	108.4266	193.6320	151.1701	19.5566	
MNI_MNI.img	BasalForebrain_L	320	106.7234	211.6453	170.3578	18.5755	
MNI_MNI.img	BasalForebrain_R	279	100.4368	209.8083	170.8049	20.2210	
MNI_MNI.img	NucAccumbens_L	676	107.9114	179.7844	135.6512	14.0806	
MNI_MNI.img	NucAccumbens_R	848	105.0220	182.0311	136.9439	15.5306	
MNI_MNI.img	RedNc_L	383	192.7690	219.2361	205.8056	5.2795	
MNI_MNI.img	RedNc_R	404	192.5550	220.6058	206.3228	5.7479	
MNI_MNI.img	Snigra_L	367	189.7973	225.7631	207.8358	6.2552	
MNI_MNI.img	Snigra_R	320	192.8978	222.1183	209.4657	5.3915	
MNI_MNI.img	CerebellumGM_R	54312	37.1814	198.4759	118.4770	22.0576	
MNI_MNI.img	CerebellumGM_L	53661	27.1158	204.1574	116.7149	22.8232	
MNI_MNI.img	CP_L	2768	151.5283	238.1416	198.2886	15.3978	
MNI_MNI.img	CP_R	2938	153.5278	238.2633	200.7211	14.1586	
MNI_MNI.img	Midbrain_L	2862	126.1356	235.7810	183.3952	15.9919	
MNI_MNI.img	Midbrain_R	2890	115.9245	227.7410	181.7205	17.7967	
MNI_MNI.img	CST_L	1417	174.1551	219.9419	198.2213	7.2678	
MNI_MNI.img	CST_R	1376	179.8207	221.8043	198.0942	6.0454	
MNI_MNI.img	SCP_L	1036	116.6742	220.3128	179.6695	17.8798	
MNI_MNI.img	SCP_R	1140	128.0890	222.7520	184.9264	16.7276	
